county_name,fips_code,dominant_naics2,dominant_industry,dominant_lq,dominant_lq_quartile,unemployment_velocity,gdp_velocity_pct
"Sumter County, Alabama",01119,31-33,Manufacturing,1.42,1,0.2666666666666668,0.02611246132372893
"Talladega County, Alabama",01121,31-33,Manufacturing,4.02,3,0.03333333333333336,0.04594643491191668
"Tallapoosa County, Alabama",01123,31-33,Manufacturing,2.34,2,0.03333333333333336,0.021922374522671994
"Tuscaloosa County, Alabama",01125,21,"Mining, Quarrying, Oil & Gas",3.31,3,0.1333333333333333,0.026737417273125792
"Walker County, Alabama",01127,21,"Mining, Quarrying, Oil & Gas",8.15,4,0.09999999999999994,0.04765726517271436
"Washington County, Alabama",01129,31-33,Manufacturing,6.18,4,-0.19999999999999987,0.05619487888748899
"Wilcox County, Alabama",01131,11,"Agriculture, Forestry, Fishing & Hunting",4.85,3,0.06666666666666643,0.022732422347833806
"Winston County, Alabama",01133,31-33,Manufacturing,5.4,4,0.20000000000000004,-0.001052049750446402
"Aleutians East Borough, Alaska",02013,31-33,Manufacturing,5.75,4,0.2666666666666666,-0.07873688630261741
"Aleutians West Census Area, Alaska",02016,31-33,Manufacturing,4.91,4,-0.03333333333333336,0.04911243692393251
"Anchorage Municipality, Alaska",02020,21,"Mining, Quarrying, Oil & Gas",3.29,3,0.06666666666666658,0.02622671736132714
"Bethel Census Area, Alaska",02050,22,Utilities,3.9,3,0.8666666666666666,0.0061336150252826425
"Bristol Bay Borough, Alaska",02060,31-33,Manufacturing,2.61,2,-0.16666666666666666,-0.01108136667840789
"Chugach Census Area, Alaska",02063,48-49,Transportation & Warehousing,3.61,3,0.43333333333333357,
"Copper River Census Area, Alaska",02066,22,Utilities,14.27,4,0.2666666666666669,
"Denali Borough, Alaska",02068,71,"Arts, Entertainment & Recreation",1.7,1,-0.19999999999999987,0.059034989440487816
"Dillingham Census Area, Alaska",02070,62,Health Care & Social Assistance,2.2,2,0.6,0.02038507013349584
"Fairbanks North Star Borough, Alaska",02090,21,"Mining, Quarrying, Oil & Gas",6.93,4,0.033333333333333215,0.012939270166406834
"Haines Borough, Alaska",02100,23,Construction,3.34,3,0.16666666666666666,0.058903071331369614
"Hoonah-Angoon Census Area, Alaska",02105,44-45,Retail Trade,0.93,1,0.3333333333333333,0.07874552068546699
"Juneau City and Borough, Alaska",02110,21,"Mining, Quarrying, Oil & Gas",17.28,4,0.09999999999999994,-0.0011027395618933877
"Kenai Peninsula Borough, Alaska",02122,21,"Mining, Quarrying, Oil & Gas",14.79,4,0.06666666666666672,0.012831181400899828
"Ketchikan Gateway Borough, Alaska",02130,48-49,Transportation & Warehousing,1.85,1,0.13333333333333344,0.03791448648224969
"Kodiak Island Borough, Alaska",02150,31-33,Manufacturing,2.02,2,-0.09999999999999994,0.007181334661948379
"Kusilvak Census Area, Alaska",02158,44-45,Retail Trade,1.7,1,1.3333333333333328,-0.012282485641227834
"Lake and Peninsula Borough, Alaska",02164,48-49,Transportation & Warehousing,3.44,3,0.09999999999999994,0.01713960727969349
"Matanuska-Susitna Borough, Alaska",02170,22,Utilities,3.12,3,0.06666666666666643,0.039687182351035515
"Nome Census Area, Alaska",02180,81,Other Services (except Public Administration),3.35,3,0.7333333333333331,0.032757474618135
"North Slope Borough, Alaska",02185,21,"Mining, Quarrying, Oil & Gas",136.08,4,-0.09999999999999994,0.05672308088091306
"Northwest Arctic Borough, Alaska",02188,51,Information,0.56,1,0.19999999999999987,-0.05918635069926583
"Petersburg Borough, Alaska",02195,31-33,Manufacturing,2.21,2,-0.19999999999999987,-0.006227331430913549
"Prince of Wales-Hyder Census Area, Alaska",02198,53,Real Estate & Rental & Leasing,1.65,1,0.6333333333333334,-0.016875517721496678
"Sitka City and Borough, Alaska",02220,11,"Agriculture, Forestry, Fishing & Hunting",2.64,2,0.0,0.038043171824092406
"Skagway Municipality, Alaska",02230,71,"Arts, Entertainment & Recreation",3.54,3,0.06666666666666672,0.10151950105530332
"Southeast Fairbanks Census Area, Alaska",02240,21,"Mining, Quarrying, Oil & Gas",85.28,4,0.2666666666666669,-0.000767792639863389
"Wrangell City and Borough, Alaska",02275,44-45,Retail Trade,1.53,1,-0.2999999999999998,0.041330194687525294
"Yakutat City and Borough, Alaska",02282,44-45,Retail Trade,1.5,1,0.3000000000000001,-0.041403200624512096
"Yukon-Koyukuk Census Area, Alaska",02290,11,"Agriculture, Forestry, Fishing & Hunting",7.43,4,0.6666666666666666,0.007351769503168035
"Apache County, Arizona",04001,62,Health Care & Social Assistance,1.05,1,0.20000000000000018,-0.015989334113963537
"Cochise County, Arizona",04003,11,"Agriculture, Forestry, Fishing & Hunting",4.62,3,0.2333333333333334,0.017802482756889157
"Coconino County, Arizona",04005,72,Accommodation & Food Services,2.48,2,0.09999999999999994,0.028962446336538605
"Gila County, Arizona",04007,72,Accommodation & Food Services,1.29,1,0.033333333333333215,-0.007602715553661619
"Graham County, Arizona",04009,44-45,Retail Trade,1.41,1,0.1333333333333333,0.013391527985323266
"Greenlee County, Arizona",04011,44-45,Retail Trade,0.39,1,0.09999999999999994,-0.04995421550277871
"La Paz County, Arizona",04012,44-45,Retail Trade,2.62,2,-0.06666666666666672,-0.04422072449864139
"Maricopa County, Arizona",04013,52,Finance & Insurance,1.53,1,0.16666666666666666,0.040400281255221535
"Mohave County, Arizona",04015,21,"Mining, Quarrying, Oil & Gas",2.31,2,0.13333333333333316,0.03584994736065305
"Navajo County, Arizona",04017,11,"Agriculture, Forestry, Fishing & Hunting",1.84,1,0.3000000000000001,0.028446736200932327
"Pima County, Arizona",04019,21,"Mining, Quarrying, Oil & Gas",1.92,1,0.19999999999999987,0.027159309346152218
"Pinal County, Arizona",04021,21,"Mining, Quarrying, Oil & Gas",5.21,4,0.2333333333333334,0.07010110695084787
"Santa Cruz County, Arizona",04023,11,"Agriculture, Forestry, Fishing & Hunting",4.83,3,-0.06666666666666672,0.013004382567987697
"Yavapai County, Arizona",04025,21,"Mining, Quarrying, Oil & Gas",5.28,4,0.16666666666666652,0.03458289034810009
"Yuma County, Arizona",04027,44-45,Retail Trade,1.08,1,0.6000000000000002,0.0383819430699981
"Arkansas County, Arkansas",05001,31-33,Manufacturing,4.89,4,0.4000000000000001,-0.04344543449321271
"Ashley County, Arkansas",05003,31-33,Manufacturing,2.24,2,0.2666666666666666,0.03845287198914639
"Baxter County, Arkansas",05005,62,Health Care & Social Assistance,1.87,1,0.3000000000000001,0.02439452589995488
"Benton County, Arkansas",05007,48-49,Transportation & Warehousing,1.63,1,0.3000000000000001,0.048180432063543645
"Boone County, Arkansas",05009,48-49,Transportation & Warehousing,2.32,2,0.4333333333333333,0.02031695155537026
"Bradley County, Arkansas",05011,31-33,Manufacturing,2.84,2,0.4666666666666668,0.004622286240696124
"Calhoun County, Arkansas",05013,31-33,Manufacturing,10.37,4,0.36666666666666686,-0.03400708492965594
"Carroll County, Arkansas",05015,22,Utilities,4.73,3,0.36666666666666653,0.03189690550789605
"Chicot County, Arkansas",05017,11,"Agriculture, Forestry, Fishing & Hunting",9.01,4,0.3333333333333333,-0.023505459258372656
"Clark County, Arkansas",05019,61,Educational Services,2.91,3,0.3000000000000001,0.0065346259545247904
"Clay County, Arkansas",05021,11,"Agriculture, Forestry, Fishing & Hunting",8.54,4,0.3333333333333335,-0.011140833609372144
"Cleburne County, Arkansas",05023,22,Utilities,4.33,3,0.3333333333333333,0.0018073518807434966
"Cleveland County, Arkansas",05025,22,Utilities,4.15,3,0.2666666666666666,0.09504360587462442
"Columbia County, Arkansas",05027,21,"Mining, Quarrying, Oil & Gas",10.21,4,0.2666666666666666,0.023656213226791102
"Conway County, Arkansas",05029,11,"Agriculture, Forestry, Fishing & Hunting",3.16,3,0.36666666666666653,0.01094412791631022
"Craighead County, Arkansas",05031,31-33,Manufacturing,1.7,1,0.4000000000000001,0.012779900142032842
"Crawford County, Arkansas",05033,31-33,Manufacturing,3.29,3,0.3999999999999999,-0.0032737779688134295
"Crittenden County, Arkansas",05035,48-49,Transportation & Warehousing,4.7,3,0.6,0.0015407626699540306
"Cross County, Arkansas",05037,44-45,Retail Trade,1.53,1,0.3333333333333335,-0.006481315474550652
"Dallas County, Arkansas",05039,11,"Agriculture, Forestry, Fishing & Hunting",4.44,3,0.16666666666666666,-0.009600073225460385
"Desha County, Arkansas",05041,11,"Agriculture, Forestry, Fishing & Hunting",8.8,4,0.4666666666666668,-0.014576480636778308
"Drew County, Arkansas",05043,11,"Agriculture, Forestry, Fishing & Hunting",4.91,4,0.3333333333333333,0.0036401755210180987
"Faulkner County, Arkansas",05045,23,Construction,1.57,1,0.3000000000000001,0.03627837177132547
"Franklin County, Arkansas",05047,22,Utilities,12.34,4,0.36666666666666653,0.06537085751928452
"Fulton County, Arkansas",05049,52,Finance & Insurance,0.98,1,0.4666666666666668,-0.0350419045305478
"Garland County, Arkansas",05051,71,"Arts, Entertainment & Recreation",2.75,2,0.20000000000000004,0.011773775144944014
"Grant County, Arkansas",05053,31-33,Manufacturing,4.17,3,0.16666666666666666,0.037891227339028964
"Greene County, Arkansas",05055,31-33,Manufacturing,3.18,3,0.4333333333333334,-0.006254221084750963
"Hempstead County, Arkansas",05057,22,Utilities,4.19,3,0.3333333333333333,0.010592559829973048
"Hot Spring County, Arkansas",05059,22,Utilities,5.13,4,0.3333333333333335,0.044169587284597626
"Howard County, Arkansas",05061,31-33,Manufacturing,4.55,3,0.5666666666666668,0.026610967836958186
"Independence County, Arkansas",05063,31-33,Manufacturing,2.84,2,0.20000000000000004,0.040007412496530455
"Izard County, Arkansas",05065,53,Real Estate & Rental & Leasing,2.04,2,0.20000000000000018,0.01861741001471853
"Jackson County, Arkansas",05067,31-33,Manufacturing,2.4,2,0.03333333333333351,0.04203639290585117
"Jefferson County, Arkansas",05069,22,Utilities,2.87,2,0.3000000000000001,-0.046378254720780235
"Johnson County, Arkansas",05071,31-33,Manufacturing,2.65,2,0.5,0.0033980768389270557
"Lafayette County, Arkansas",05073,11,"Agriculture, Forestry, Fishing & Hunting",8.82,4,0.39999999999999974,0.0671718904792647
"Lawrence County, Arkansas",05075,11,"Agriculture, Forestry, Fishing & Hunting",4.48,3,0.2333333333333334,-0.009283519789056347
"Lee County, Arkansas",05077,11,"Agriculture, Forestry, Fishing & Hunting",14.61,4,0.5333333333333335,-0.014680152843335582
"Lincoln County, Arkansas",05079,22,Utilities,11.73,4,0.3333333333333333,0.028948285475327573
"Little River County, Arkansas",05081,31-33,Manufacturing,3.51,3,0.16666666666666666,0.02967764403504125
"Logan County, Arkansas",05083,21,"Mining, Quarrying, Oil & Gas",3.53,3,0.4000000000000001,0.060157006003170706
"Lonoke County, Arkansas",05085,72,Accommodation & Food Services,1.52,1,0.2666666666666666,0.023161529880835714
"Madison County, Arkansas",05087,31-33,Manufacturing,3.83,3,0.3333333333333333,0.0743485192556151
"Marion County, Arkansas",05089,31-33,Manufacturing,4.33,3,0.7000000000000002,-0.031817143100085564
"Miller County, Arkansas",05091,31-33,Manufacturing,2.39,2,0.2333333333333334,-0.008092701672724946
"Mississippi County, Arkansas",05093,31-33,Manufacturing,4.19,3,0.09999999999999994,0.026690495283347125
"Monroe County, Arkansas",05095,11,"Agriculture, Forestry, Fishing & Hunting",7.26,4,0.5666666666666668,-0.0010866350646826705
"Montgomery County, Arkansas",05097,44-45,Retail Trade,1.33,1,0.2999999999999998,0.03211706575446598
"Nevada County, Arkansas",05099,11,"Agriculture, Forestry, Fishing & Hunting",2.47,2,0.2333333333333334,-0.00813688407715098
"Newton County, Arkansas",05101,62,Health Care & Social Assistance,1.25,1,0.5333333333333335,-0.00018085764599495502
"Ouachita County, Arkansas",05103,21,"Mining, Quarrying, Oil & Gas",3.81,3,0.4000000000000001,0.017755359871583016
"Perry County, Arkansas",05105,23,Construction,1.46,1,0.3333333333333332,0.056969200629476184
"Phillips County, Arkansas",05107,61,Educational Services,2.72,2,0.2666666666666666,-0.04362599389048938
"Pike County, Arkansas",05109,53,Real Estate & Rental & Leasing,2.17,2,0.36666666666666653,0.044359725055165895
"Poinsett County, Arkansas",05111,42,Wholesale Trade,2.21,2,0.36666666666666653,0.028918150529703
"Polk County, Arkansas",05113,31-33,Manufacturing,2.52,2,0.3,0.04226134470553254
"Pope County, Arkansas",05115,31-33,Manufacturing,2.3,2,0.3333333333333333,0.02566600342239906
"Prairie County, Arkansas",05117,11,"Agriculture, Forestry, Fishing & Hunting",12.65,4,0.4000000000000001,-0.0033674433565871213
"Pulaski County, Arkansas",05119,22,Utilities,2.14,2,0.3000000000000001,0.02272560372278901
"Randolph County, Arkansas",05121,11,"Agriculture, Forestry, Fishing & Hunting",5.45,4,0.2333333333333334,0.013900573557324736
"St. Francis County, Arkansas",05123,11,"Agriculture, Forestry, Fishing & Hunting",3.16,3,0.5,-0.009163600933998555
"Saline County, Arkansas",05125,23,Construction,1.75,1,0.2666666666666666,0.011002780935685944
"Scott County, Arkansas",05127,31-33,Manufacturing,4.94,4,0.3999999999999999,0.048463470550554597
"Searcy County, Arkansas",05129,44-45,Retail Trade,1.61,1,0.1333333333333333,0.010016092336718272
"Sebastian County, Arkansas",05131,22,Utilities,2.62,2,0.4000000000000001,0.015576966355490716
"Sevier County, Arkansas",05133,22,Utilities,1.46,1,0.20000000000000004,0.05827067564084717
"Sharp County, Arkansas",05135,44-45,Retail Trade,1.93,1,0.2666666666666666,0.06130139691994878
"Stone County, Arkansas",05137,22,Utilities,2.17,2,0.36666666666666686,0.03209762147276294
"Union County, Arkansas",05139,21,"Mining, Quarrying, Oil & Gas",4.85,3,0.4000000000000001,0.0034768550643838503
"Van Buren County, Arkansas",05141,48-49,Transportation & Warehousing,2.24,2,0.36666666666666686,-0.01753652909040595
"Washington County, Arkansas",05143,55,Management of Companies & Enterprises,2.33,2,0.3333333333333333,0.02394116722824389
"White County, Arkansas",05145,21,"Mining, Quarrying, Oil & Gas",2.3,2,0.23333333333333325,0.02026530899079339
"Woodruff County, Arkansas",05147,42,Wholesale Trade,1.61,1,0.19999999999999987,0.01071339620607489
"Yell County, Arkansas",05149,31-33,Manufacturing,4.56,3,0.3,0.03352811389862475
"Alameda County, California",06001,31-33,Manufacturing,1.34,1,0.5,0.007264279417216846
"Alpine County, California",06003,44-45,Retail Trade,0.2,1,-0.2333333333333331,0.024742862913114352
"Amador County, California",06005,22,Utilities,2.41,2,0.4666666666666668,0.01315599832707401
"Butte County, California",06007,11,"Agriculture, Forestry, Fishing & Hunting",4.29,3,0.5333333333333335,0.028823841420274526
"Calaveras County, California",06009,22,Utilities,3.41,3,0.5666666666666668,0.05001460531558428
"Colusa County, California",06011,11,"Agriculture, Forestry, Fishing & Hunting",28.56,4,0.8666666666666666,0.03499329101064027
"Contra Costa County, California",06013,62,Health Care & Social Assistance,1.46,1,0.4666666666666666,-0.0019295905114495482
"Del Norte County, California",06015,44-45,Retail Trade,1.14,1,0.2666666666666669,0.014119145808792923
"El Dorado County, California",06017,71,"Arts, Entertainment & Recreation",2.31,2,0.4333333333333333,0.03006783646463297
"Fresno County, California",06019,11,"Agriculture, Forestry, Fishing & Hunting",12.24,4,0.6333333333333334,0.025706654887807347
"Glenn County, California",06021,11,"Agriculture, Forestry, Fishing & Hunting",31.79,4,0.4666666666666665,0.01331195594731524
"Humboldt County, California",06023,62,Health Care & Social Assistance,1.52,1,0.4000000000000001,0.015858788720217697
"Imperial County, California",06025,11,"Agriculture, Forestry, Fishing & Hunting",17.89,4,1.1999999999999993,0.05127222694986737
"Inyo County, California",06027,22,Utilities,4.85,3,0.19999999999999987,0.022234643555303836
"Kern County, California",06029,11,"Agriculture, Forestry, Fishing & Hunting",17.63,4,0.6333333333333334,0.022696929561004272
"Kings County, California",06031,62,Health Care & Social Assistance,1.01,1,0.6333333333333334,0.027617977414861494
"Lake County, California",06033,22,Utilities,6.01,4,0.4666666666666665,0.02249056293396126
"Lassen County, California",06035,11,"Agriculture, Forestry, Fishing & Hunting",3.93,3,0.4666666666666668,-0.003017204906812067
"Los Angeles County, California",06037,51,Information,2.06,2,0.2333333333333334,0.015441948869865102
"Madera County, California",06039,62,Health Care & Social Assistance,1.25,1,0.6333333333333334,0.018212945456470852
"Marin County, California",06041,71,"Arts, Entertainment & Recreation",1.88,1,0.4333333333333334,-0.0017999056093211346
"Mariposa County, California",06043,72,Accommodation & Food Services,3.48,3,0.3333333333333333,0.04843324784230989
"Mendocino County, California",06045,22,Utilities,2.03,2,0.5,-0.00028004322470887483
"Merced County, California",06047,31-33,Manufacturing,1.17,1,0.7999999999999998,0.030618049261269282
"Modoc County, California",06049,11,"Agriculture, Forestry, Fishing & Hunting",12.5,4,0.5,0.043504358533394
"Mono County, California",06051,72,Accommodation & Food Services,5.32,4,0.10000000000000009,0.046839883515026395
"Monterey County, California",06053,11,"Agriculture, Forestry, Fishing & Hunting",23.91,4,0.5666666666666668,0.02191995871442555
"Napa County, California",06055,11,"Agriculture, Forestry, Fishing & Hunting",5.71,4,0.36666666666666653,-0.0041618992355463786
"Nevada County, California",06057,71,"Arts, Entertainment & Recreation",2.53,2,0.3333333333333333,0.023657992796894244
"Orange County, California",06059,71,"Arts, Entertainment & Recreation",2.14,2,0.2999999999999998,0.011358876101895992
"Placer County, California",06061,22,Utilities,2.23,2,0.3999999999999999,0.009737170044334338
"Plumas County, California",06063,22,Utilities,6.92,4,0.3000000000000001,0.08699994017054913
"Riverside County, California",06065,11,"Agriculture, Forestry, Fishing & Hunting",1.89,1,0.4333333333333333,0.024368699084665373
"Sacramento County, California",06067,62,Health Care & Social Assistance,1.22,1,0.3666666666666667,0.028716299180384985
"San Benito County, California",06069,11,"Agriculture, Forestry, Fishing & Hunting",10.97,4,0.6,0.023677810482911954
"San Bernardino County, California",06071,48-49,Transportation & Warehousing,3.09,3,0.4000000000000001,0.016274254427492
"San Diego County, California",06073,54,"Professional, Scientific & Technical Services",1.39,1,0.3999999999999999,0.020696056534676762
"San Francisco County, California",06075,51,Information,4.71,3,0.4333333333333333,-0.007170023290322991
"San Joaquin County, California",06077,11,"Agriculture, Forestry, Fishing & Hunting",5.02,4,0.5,0.013620055268367686
"San Luis Obispo County, California",06079,11,"Agriculture, Forestry, Fishing & Hunting",4.66,3,0.4000000000000001,0.019579485266914953
"San Mateo County, California",06081,51,Information,5.62,4,0.4333333333333333,0.04683147530326989
"Santa Barbara County, California",06083,11,"Agriculture, Forestry, Fishing & Hunting",14.17,4,0.3999999999999999,0.018600672541543475
"Santa Clara County, California",06085,51,Information,4.34,3,0.5,0.016170240276240127
"Santa Cruz County, California",06087,11,"Agriculture, Forestry, Fishing & Hunting",6.89,4,0.5,0.0050942858234710635
"Shasta County, California",06089,22,Utilities,2.07,2,0.3333333333333333,0.032863401470785876
"Sierra County, California",06091,44-45,Retail Trade,0.37,1,0.4000000000000001,0.02771054648073697
"Siskiyou County, California",06093,11,"Agriculture, Forestry, Fishing & Hunting",8.19,4,0.5,0.025479591365044144
"Solano County, California",06095,23,Construction,1.42,1,0.4000000000000001,-0.006991038236168166
"Sonoma County, California",06097,11,"Agriculture, Forestry, Fishing & Hunting",3.0,3,0.4000000000000001,-0.007920586420519963
"Stanislaus County, California",06099,31-33,Manufacturing,1.38,1,0.6,0.014976004645164432
"Sutter County, California",06101,11,"Agriculture, Forestry, Fishing & Hunting",11.94,4,0.6333333333333334,0.013476590061235319
"Tehama County, California",06103,48-49,Transportation & Warehousing,2.26,2,0.5666666666666668,0.015384004827315891
"Trinity County, California",06105,81,Other Services (except Public Administration),1.57,1,0.43333333333333357,0.05091492551708416
"Tulare County, California",06107,11,"Agriculture, Forestry, Fishing & Hunting",24.51,4,0.8666666666666671,0.020796499964278646
"Tuolumne County, California",06109,71,"Arts, Entertainment & Recreation",1.61,1,0.3333333333333333,0.028480081234530333
"Ventura County, California",06111,11,"Agriculture, Forestry, Fishing & Hunting",8.85,4,0.36666666666666653,0.012584700335524161
"Yolo County, California",06113,11,"Agriculture, Forestry, Fishing & Hunting",4.45,3,0.5333333333333332,0.006090492793321611
"Yuba County, California",06115,55,Management of Companies & Enterprises,1.06,1,0.6,0.02700210236775357
"Adams County, Colorado",08001,48-49,Transportation & Warehousing,2.61,2,0.3333333333333333,0.027920315294309613
"Alamosa County, Colorado",08003,22,Utilities,2.51,2,0.23333333333333325,-0.0002160528714285101
"Arapahoe County, Colorado",08005,51,Information,2.35,2,0.2666666666666666,0.02171354986468512
"Archuleta County, Colorado",08007,53,Real Estate & Rental & Leasing,2.53,2,0.10000000000000009,0.02471801028145541
"Baca County, Colorado",08009,44-45,Retail Trade,1.24,1,0.3666666666666667,-0.04678931621211157
"Bent County, Colorado",08011,52,Finance & Insurance,1.15,1,0.06666666666666643,0.010258066616089917
"Boulder County, Colorado",08013,54,"Professional, Scientific & Technical Services",2.6,2,0.4333333333333333,0.02171204631990447
"Broomfield County, Colorado",08014,55,Management of Companies & Enterprises,4.58,3,0.3999999999999999,0.02679003803644032
"Chaffee County, Colorado",08015,71,"Arts, Entertainment & Recreation",3.76,3,0.2666666666666668,0.03793039856667299
"Cheyenne County, Colorado",08017,21,"Mining, Quarrying, Oil & Gas",27.14,4,0.20000000000000004,0.03365440687152256
"Clear Creek County, Colorado",08019,71,"Arts, Entertainment & Recreation",11.26,4,0.16666666666666666,0.010118469132190094
"Conejos County, Colorado",08021,11,"Agriculture, Forestry, Fishing & Hunting",9.17,4,0.19999999999999987,-0.026182722126159384
"Costilla County, Colorado",08023,11,"Agriculture, Forestry, Fishing & Hunting",16.62,4,0.4666666666666668,0.05328581997019995
"Crowley County, Colorado",08025,44-45,Retail Trade,0.66,1,0.3,0.04065588001016027
